sku,qty
364d9c85,28.501529730307624
364d9c85,28.248858165808024
364d9c85,27.996186601308416
364d9c85,27.743515036808816
364d9c8b,6.910520432787331
364d9c8b,6.850250063594983
364d9c8b,6.789979694402634
364d9c8b,6.729709325210285
364dc393,8.129474850105318
364dc393,8.139426178904529
364dc393,8.149377507703742
364dc393,8.159328836502953
364de2d7,52.69404727931511
364de2d7,53.015640794696985
364de2d7,53.337234310078856
364de2d7,53.65882782546073
364de6bc,4.742340966224855
364de6bc,4.633140839192283
364de6bc,4.52394071215971
364de6bc,4.414740585127138
364de6bd,25.222187984718797
364de6bd,25.10325700764677
364de6bd,24.98432603057475
364de6bd,24.865395053502723
364de6c1,59.41366900508143
364de6c1,59.11280945271506
364de6c1,58.811949900348694
364de6c1,58.511090347982325
364deaa4,160.97915065188948
364deaa4,161.59750088960334
364deaa4,162.21585112731722
364deaa4,162.8342013650311
364deabe,46.390538167948634
364deabe,46.63752480688736
364deabe,46.88451144582609
364deabe,47.13149808476482
364deac0,23.816968304452956
364deac0,23.97578069276824
364deac0,24.134593081083516
364deac0,24.2934054693988
364df660,4.930341969699853
364df660,4.564905811013745
364df660,4.199469652327643
364df660,3.8340334936415346
36531bf5,2.935650834289932
36531bf5,2.928636740236672
36531bf5,2.921622646183411
36531bf5,2.914608552130151
36536243,2.279639410075844
36536243,2.2544553115222015
36536243,2.229271212968559
36536243,2.2040871144149166
36536247,6.152737599159446
36536247,6.119529454012987
36536247,6.086321308866529
36536247,6.05311316372007
36536249,4.175066733871725
36536249,4.175441402472535
36536249,4.175816071073345
36536249,4.176190739674155
3653624f,1.6186358551736655
3653624f,1.5709307775393535
3653624f,1.5232256999050406
3653624f,1.4755206222707278
36536a10,2.891459190422818
36536a10,2.8503796145411364
36536a10,2.8093000386594538
36536a10,2.768220462777772
36536a12,18.118845981965297
36536a12,18.12885893827067
36536a12,18.13887189457604
36536a12,18.148884850881412
36536a14,3.27376596972697
36536a14,3.23724180466163
36536a14,3.200717639596289
36536a14,3.164193474530949
36536a21,4.233575815574667
36536a21,4.186064337905678
36536a21,4.138552860236689
36536a21,4.091041382567701
36536a23,81.08900446635965
36536a23,81.61816820047318
36536a23,82.1473319345867
36536a23,82.6764956687002
36536a24,147.70123475370002
36536a24,148.58223161554025
36536a24,149.46322847738048
36536a24,150.34422533922066
36536df6,1.429577437504081
36536df6,1.3511130302947034
36536df6,1.2726486230853276
36536df6,1.19418421587595
36536df8,2.9256191112587158
36536df8,2.9210667273336393
36536df8,2.916514343408563
36536df8,2.9119619594834867
36536df9,11.877052217143369
36536df9,11.903269999064086
36536df9,11.929487780984804
36536df9,11.955705562905521
365371dc,-1.7385782982308804
365371dc,-1.8715542929248628
365371dc,-2.0045302876188416
365371dc,-2.137506282312824
3654a222,8.506819464944908
3654a222,8.474212460403724
3654a222,8.44160545586254
3654a222,8.408998451321354
3654a224,17.556959979291218
3654a224,17.552016278863373
3654a224,17.54707257843553
3654a224,17.542128878007684
3654a22a,9.13714257105839
3654a22a,9.129250678538213
3654a22a,9.121358786018037
3654a22a,9.113466893497861
3654a22e,12.682822597898445
3654a22e,12.644621535072169
3654a22e,12.606420472245894
3654a22e,12.568219409419616
3654add1,1.4020996212874723
3654add1,1.3939529855984145
3654add1,1.3858063499093567
3654add1,1.3776597142202989
3654adda,15.17971168013169
3654adda,15.23038577487024
3654adda,15.281059869608788
3654adda,15.331733964347336
3654c8ef,9.3168576413083
3654c8ef,9.35884243929176
3654c8ef,9.400827237275221
3654c8ef,9.442812035258681
3654ebdc,2.2221752112376603
3654ebdc,2.213391596550748
3654ebdc,2.2046079818638358
3654ebdc,2.1958243671769235
3654ebdf,61.42590333634852
3654ebdf,61.318782865228634
3654ebdf,61.21166239410875
3654ebdf,61.10454192298886
3654efd2,2.35776759020348
3654efd2,2.312862265913852
3654efd2,2.267956941624224
3654efd2,2.2230516173345958
3654efdc,67.72962929420524
3654efdc,67.86039602150255
3654efdc,67.99116274879987
3654efdc,68.12192947609718
3654efdf,67.10858591025703
3654efdf,67.31762859051355
3654efdf,67.52667127077007
3654efdf,67.7357139510266
