sku,dpa
364d9c85,0.0
364d9c8b,0.0
364dc393,0.0
364de2d7,0.6017702853538187
364de6bc,0.0
364de6bd,0.0
364de6c1,0.0
364deaa4,0.0030881987841803182
364deabe,0.0
364deac0,0.0
364df660,0.0
36531bf5,0.0
36536243,0.0
36536247,0.0
36536249,0.0
3653624f,0.0
36536a10,0.0
36536a12,0.01378636017523227
36536a14,0.0
36536a21,0.0
36536a23,0.012212584447582442
36536a24,0.29693456821120057
36536df6,0.0
36536df8,0.0
36536df9,0.0
365371dc,0.0
3654a222,0.0
3654a224,0.0
3654a22a,0.05479269072860604
3654a22e,0.1386081413585094
3654add1,0.0
3654adda,0.0
3654c8ef,0.0
3654ebdc,0.0
3654ebdf,0.0
3654efd2,0.0
3654efdc,0.0
3654efdf,0.1668591110128207
3654efe1,0.06674449270524929
3654efea,0.0
3654fbc4,0.42793547258306597
366cd2c2,0.0
366cd2c6,0.0
366cd5ed,0.21067747681536775
366cd5f8,0.3009649725354462
366cd5fb,0.41661551534420505
366cd5ff,0.17393484149171634
366e97ce,0.0
366e97d0,0.0
367fb4f4,0.5113574462152368
367fb4f5,0.594164163428183
367fb534,0.004500287062586872
367fb535,0.5928831217472486
367fb53c,0.5589295820834146
367fb590,0.6745890189727144
367fb596,0.3222817529345635
367fb5ec,0.7493465494309886
367fb6ac,0.5663724710710744
367fb6ae,0.1607245353097746
367fb710,0.5929508715680332
367fb713,0.7962013175617808
367fb715,0.10741261164381821
3682977c,0.7771488518979008
36829785,0.7999988587147822
368297ee,0.8185622146589164
368297f2,0.315745556548353
3682a1b2,0.453725141850154
3682a1b3,0.0
3682a410,0.0
3682a6a9,0.8189516310662514
3682a769,0.3536585178736208
3682a76d,0.15133204138407863
3682a95f,-0.630771810188197
3682a963,0.44847796141031837
3682a964,0.1826736511766126
3682a966,0.7997618073150145
3682ac27,0.31619815926086725
3682ad56,0.4675622744344451
3682ad57,0.045004690938463265
3682ad58,0.2175856208202046
3682ad61,0.36838737283053835
3683bdf6,0.3608132519983821
3683c1f1,0.8548312457678512
3683c36e,0.3917989172638172
3683c7c4,0.3003575279669096
3683c7d0,0.6806185992366527
368853c2,0.556935633860768
36887060,0.1422117249603433
36887084,0.2577177794951926
3688709a,0.636002910914432
368870b6,0.017125475851049288
368870ef,0.6477473850914084
36887303,0.2843034046303108
36887369,0.0
36887497,0.31000122986349066
369a87ae,0.2059450499507618
369a896c,0.11077787835098962
369a89ba,0.0
369a89c3,0.0
369a89c7,0.0
369a8aaa,0.3756557874680315
369a8aab,0.5771779344045616
